t, x1, y1, x2, y2
86727.530271, 32047.789345, -45603.062185, 1670027138.657870, 61680192.896977
86894.519732, 32205.658980, -45737.579372, 1669839606.170625, 66441360.828023
87061.509193, 32363.964738, -45872.078987, 1669638403.303993, 71201977.935542
87228.498654, 32522.706571, -46006.559785, 1669423531.602119, 75962005.238924
87395.488115, 32681.884424, -46141.020523, 1669194992.718753, 80721403.761633
87562.477576, 32841.498242, -46275.459958, 1668952788.417235, 85480134.531504
87729.467037, 33001.547965, -46409.876847, 1668696920.570493, 90238158.581046
87896.456498, 33162.033530, -46544.269947, 1668427391.161025, 94995436.947734
88063.445959, 33322.954870, -46678.638014, 1668144202.280888, 99751930.674319
88230.435420, 33484.311914, -46812.979807, 1667847356.131689, 104507600.809117
88397.424881, 33646.104590, -46947.294082, 1667536855.024567, 109262408.406312
88564.414342, 33808.332820, -47081.579597, 1667212701.380183, 114016314.526258
88731.403803, 33970.996523, -47215.835111, 1666874897.728700, 118769280.235774
88898.393264, 34134.095614, -47350.059381, 1666523446.709771, 123521266.608444
89065.382725, 34297.630007, -47484.251166, 1666158351.072521, 128272234.724918
89232.372186, 34461.599610, -47618.409225, 1665779613.675531, 133022145.673209
89399.361647, 34626.004329, -47752.532315, 1665387237.486818, 137770960.548991
89566.351108, 34790.844064, -47886.619197, 1664981225.583815, 142518640.455902
89733.340569, 34956.118715, -48020.668630, 1664561581.153355, 147265146.505840
89900.330030, 35121.828177, -48154.679373, 1664128307.491650, 152010439.819260
90067.319491, 35287.972340, -48288.650186, 1663681408.004266, 156754481.525477
90234.308952, 35454.551092, -48422.579830, 1663220886.206105, 161497232.762964
90401.298413, 35621.564319, -48556.467065, 1662746745.721381, 166238654.679646
90568.287874, 35789.011900, -48690.310652, 1662258990.283597, 170978708.433206
90735.277335, 35956.893714, -48824.109351, 1661757623.735518, 175717355.191377
90902.266796, 36125.209633, -48957.861925, 1661242650.029151, 180454556.132246
91069.256257, 36293.959530, -49091.567135, 1660714073.225714, 185190272.444549
91236.245718, 36463.143270, -49225.223743, 1660171897.495613, 189924465.327969
91403.235179, 36632.760716, -49358.830513, 1659616127.118414, 194657095.993437
91570.224641, 36802.811730, -49492.386206, 1659046766.482815, 199388125.663432
91737.214102, 36973.296168, -49625.889586, 1658463820.086614, 204117515.572271
91904.203563, 37144.213881, -49759.339417, 1657867292.536685, 208845226.966418
92071.193024, 37315.564721, -49892.734463, 1657257188.548943, 213571221.104775
92238.182485, 37487.348533, -50026.073488, 1656633512.948316, 218295459.258982
92405.171946, 37659.565160, -50159.355257, 1655996270.668709, 223017902.713715
92572.161407, 37832.214441, -50292.578536, 1655345466.752978, 227738512.766985
92739.150868, 38005.296211, -50425.742089, 1654681106.352889, 232457250.730435
92906.140329, 38178.810303, -50558.844684, 1654003194.729089, 237174077.929638
93073.129790, 38352.756545, -50691.885087, 1653311737.251070, 241888955.704395
93240.119251, 38527.134763, -50824.862065, 1652606739.397131, 246601845.409031
93407.108712, 38701.944778, -50957.774385, 1651888206.754345, 251312708.412697
93574.098173, 38877.186409, -51090.620817, 1651156145.018518, 256021506.099663
93741.087634, 39052.859471, -51223.400127, 1650410559.994156, 260728199.869617
93908.077095, 39228.963774, -51356.111086, 1649651457.594420, 265432751.137962
94075.066556, 39405.499127, -51488.752462, 1648878843.841091, 270135121.336117
94242.056017, 39582.465334, -51621.323026, 1648092724.864528, 274835271.911807
94409.045478, 39759.862196, -51753.821549, 1647293106.903630, 279533164.329368
94576.034939, 39937.689511, -51886.246802, 1646479996.305786, 284228760.070038
94743.024400, 40115.947072, -52018.597555, 1645653399.526842, 288922020.632258
94910.013861, 40294.634670, -52150.872583, 1644813323.131053, 293612907.531965
95077.003322, 40473.752093, -52283.070656, 1643959773.791038, 298301382.302894
95243.992783, 40653.299124, -52415.190550, 1643092758.287737, 302987406.496870
95410.982244, 40833.275543, -52547.231037, 1642212283.510366, 307670941.684106
95577.971705, 41013.681128, -52679.190893, 1641318356.456366, 312351949.453502
95744.961166, 41194.515650, -52811.068892, 1640410984.231364, 317030391.412937
95911.950627, 41375.778881, -52942.863810, 1639490174.049115, 321706229.189568
96078.940088, 41557.470586, -53074.574425, 1638555933.231463, 326379424.430128
96245.929549, 41739.590529, -53206.199512, 1637608269.208285, 331049938.801216
96412.919010, 41922.138468, -53337.737849, 1636647189.517443, 335717733.989602
96579.908471, 42105.114161, -53469.188216, 1635672701.804733, 340382771.702513
96746.897932, 42288.517360, -53600.549390, 1634684813.823832, 345045013.667937
96913.887393, 42472.347814, -53731.820152, 1633683533.436248, 349704421.634914
97080.876854, 42656.605268, -53862.999282, 1632668868.611265, 354360957.373832
97247.866315, 42841.289466, -53994.085561, 1631640827.425890, 359014582.676725
97414.855776, 43026.400145, -54125.077770, 1630599418.064794, 363665259.357567
97581.845237, 43211.937042, -54255.974693, 1629544648.820263, 368312949.252564
97748.834698, 43397.899888, -54386.775112, 1628476528.092138, 372957614.220456
97915.824159, 43584.288412, -54517.477812, 1627395064.387757, 377599216.142804
98082.813620, 43771.102340, -54648.081577, 1626300266.321901, 382237716.924293
98249.803081, 43958.341392, -54778.585192, 1625192142.616730, 386873078.493018
98416.792542, 44146.005288, -54908.987443, 1624070702.101728, 391505262.800787
98583.782003, 44334.093741, -55039.287118, 1622935953.713641, 396134231.823410
98750.771465, 44522.606465, -55169.483005, 1621787906.496418, 400759947.560996
98917.760926, 44711.543165, -55299.573890, 1620626569.601145, 405382372.038245
99084.750387, 44900.903549, -55429.558565, 1619451952.285987, 410001467.304744
99251.739848, 45090.687315, -55559.435819, 1618264063.916124, 414617195.435260
99418.729309, 45280.894163, -55689.204443, 1617062913.963683, 419229518.530035
99585.718770, 45471.523787, -55818.863228, 1615848512.007681, 423838398.715078
99752.708231, 45662.575878, -55948.410968, 1614620867.733951, 428443798.142461
99919.697692, 45854.050122, -56077.846455, 1613379990.935083, 433045678.990608
100086.687153, 46045.946206, -56207.168483, 1612125891.510350, 437644003.464593
100253.676614, 46238.263808, -56336.375849, 1610858579.465648, 442238733.796431
100420.666075, 46431.002607, -56465.467348, 1609578064.913421, 446829832.245370
100587.655536, 46624.162277, -56594.441776, 1608284358.072596, 451417261.098188
100754.644997, 46817.742488, -56723.297932, 1606977469.268509, 456000982.669479
100921.634458, 47011.742908, -56852.034613, 1605657408.932839, 460580959.301951
101088.623919, 47206.163200, -56980.650621, 1604324187.603531, 465157153.366718
101255.613380, 47401.003024, -57109.144754, 1602977815.924729, 469729527.263587
101422.602841, 47596.262038, -57237.515815, 1601618304.646699, 474298043.421357
101589.592302, 47791.939896, -57365.762605, 1600245664.625759, 478862664.298108
101756.581763, 47988.036247, -57493.883928, 1598859906.824198, 483423352.381490
101923.571224, 48184.550739, -57621.878589, 1597461042.310208, 487980070.189019
102090.560685, 48381.483015, -57749.745392, 1596049082.257804, 492532780.268366
102257.550146, 48578.832715, -57877.483143, 1594624037.946748, 497081445.197649
102424.539607, 48776.599475, -58005.090650, 1593185920.762469, 501626027.585724
102591.529068, 48974.782931, -58132.566721, 1591734742.195989, 506166490.072476
102758.518529, 49173.382711, -58259.910165, 1590270513.843840, 510702795.329108
102925.507990, 49372.398441, -58387.119791, 1588793247.407989, 515234906.058435
103092.497451, 49571.829747, -58514.194411, 1587302954.695749, 519762784.995172
103259.486912, 49771.676246, -58641.132838, 1585799647.619707, 524286394.906225
103426.476373, 49971.937557, -58767.933884, 1584283338.197635, 528805698.590981
103593.465834, 50172.613291, -58894.596364, 1582754038.552411, 533320658.881597
103760.455295, 50373.703060, -59021.119093, 1581211760.911933, 537831238.643290
103927.444756, 50575.206470, -59147.500887, 1579656517.609035, 542337400.774629
104094.434217, 50777.123123, -59273.740564, 1578088321.081405, 546839108.207821
104261.423678, 50979.452620, -59399.836942, 1576507183.871492, 551336323.909002
104428.413139, 51182.194557, -59525.788841, 1574913118.626428, 555829010.878524
104595.402600, 51385.348528, -59651.595081, 1573306138.097933, 560317132.151248
104762.392061, 51588.914122, -59777.254485, 1571686255.142231, 564800650.796827
104929.381522, 51792.890926, -59902.765876, 1570053482.719961, 569279529.919999
105096.370983, 51997.278523, -60028.128077, 1568407833.896084, 573753732.660873
105263.360444, 52202.076492, -60153.339913, 1566749321.839797, 578223222.195216
105430.349905, 52407.284411, -60278.400211, 1565077959.824438, 582687961.734745
105597.339366, 52612.901853, -60403.307799, 1563393761.227397, 587147914.527409
105764.328827, 52818.928387, -60528.061505, 1561696739.530020, 591603043.857682
105931.318288, 53025.363580, -60652.660159, 1559986908.317519, 596053313.046844
106098.307750, 53232.206996, -60777.102592, 1558264281.278875, 600498685.453275
106265.297211, 53439.458194, -60901.387636, 1556528872.206744, 604939124.472736
106432.286672, 53647.116731, -61025.514125, 1554780694.997364, 609374593.538659
106599.276133, 53855.182160, -61149.480893, 1553019763.650451, 613805056.122430
